# Do not remove the column description line, it must be the first line of data.
Name|recipeTime|powerPerWorker|outputMode|in1|inCt1|in2|inCt2|in3|inCt3|in4|inCt4|out1|outCt1|out2|outCt2|out3|outCt3|RequiredUnlock|pollutionPerSecond|hideUnlessUnlocked|workersStockOneCycleMax|shipToSpawn

# Custom recipes
expandedindustries.recipe.charcoalfurnacecharcoal|89|0|None|wood|2|None|0|None|0|None|0|expandedindustries.resource.charcoal|1|None|0|None|0|expandedindustries.unlock.charcoalfurnacecharcoal|40000|false|false|None
expandedindustries.recipe.charcoaltofuel|89|0|None|expandedindustries.resource.charcoal|1|None|0|None|0|None|0|fuel|9|None|0|None|0|expandedindustries.unlock.charcoaltofuel|40000|false|false|None
expandedindustries.recipe.sifterseasalt|99|0|None|fluid_water|52|None|0|None|0|None|0|expandedindustries.resource.seasalt|2|None|0|None|0|expandedindustries.unlock.sifterseasalt|0|false|false|None
expandedindustries.recipe.seatotablesalt|144|0|None|expandedindustries.resource.seasalt|3|None|0|None|0|None|0|tablesalt|2|None|0|None|0|expandedindustries.unlock.seatotablesalt|0|false|false|None
expandedindustries.recipe.hardtack|108|0|None|flour|2|fuel|1|tablesalt|1|None|0|basicRations|5|None|0|None|0|expandedindustries.unlock.hardtack|1000|false|false|None

# field count: 21

## Vanilla recipes follow. These can be uncommented (by removing the leading `#`) to inject the edited version.
# recipe.lumbermill|233|0|None|wood|1|None|0|None|0|None|0|planks|5|None|0|None|0|None|0|false|false|None
# recipe.fishingdock|21|0|None|None|0|None|0|None|0|None|0|rawfish|1|None|0|None|0|None|0|false|false|None
# recipe.brickmaker|233|0|None|stone|3|None|0|None|0|None|0|bricks|2|None|0|None|0|None|0|false|false|None
# recipe.fishery|144|0|None|rawfish|3|fuel|1|None|0|None|0|smokedfish|5|None|0|None|0|unlock.fishery|20000|false|false|None
# recipe.stewery|144|0|None|berries|2|fuel|1|fluid_water|5|None|0|berrysoup|5|None|0|None|0|unlock.stewery|20000|false|false|None
# recipe.finekitchen|144|0|None|smokedfish|1|stew|1|spice|1|None|0|simplemeal|5|None|0|None|0|None|0|false|false|None
# recipe.charcoalfurnace|89|0|None|wood|2|None|0|None|0|None|0|fuel|3|None|0|None|0|unlock.charcoalfurnace|40000|false|false|None
# recipe.smelter|233|0|None|ironore|1|fuel|2|None|0|None|0|ironbar|5|None|0|None|0|unlock.recipe.ironsmelting|60000|false|false|None
# recipe.toolmaker|144|0|None|ironbar|1|wood|1|None|0|None|0|handTool|3|None|0|None|0|None|0|false|false|None
# recipe.waterpump|8|0|None|None|0|None|0|None|0|None|0|fluid_water|5|None|0|None|0|None|0|false|false|None
# recipe.coalprocessor|377|0|None|coal|1|fluid_water|5|None|0|None|0|fuel|21|None|0|None|0|unlock.coalsifter|20000|false|false|None
# recipe.boiler|21|0|None|fuel|1|None|0|None|0|None|0|fluid_steam|89|None|0|None|0|None|20000|false|false|None
# recipe.furnituremaker|233|0|None|planks|3|nails|1|None|0|None|0|furniture|3|None|0|None|0|unlock.furniture|0|false|false|None
